vp_ha,FP_ha,vp_d2,FP_d2,vp_d4,FP_d4,vp_c4,FP_c4,vp_s2,FP_s2,vp_s4,FP_s4
0.01,0.0808375717833158,0.01,0.0809766006665662,0.01,0.0685489632693414,0.01,0.0625784451164174,0.01,0.0809766006665662,0.01,0.0769370392254546
0.0198,0.150637965938005,0.0198,0.152985532009732,0.0198,0.13122597180692,0.0198,0.11833664543209,0.0198,0.152985532009732,0.0198,0.140987686421633
0.0296,0.216243099062224,0.0296,0.219083977659388,0.0296,0.188421094060274,0.0296,0.170538586215656,0.0296,0.219083977659388,0.0296,0.203512814366116
0.0394,0.278582447276605,0.0394,0.281916160225284,0.0394,0.242594912464152,0.0394,0.220515103514203,0.0394,0.281916160225284,0.0394,0.263363322945677
0.0492,0.336778395096703,0.0492,0.340464533416877,0.0492,0.293491266251837,0.0492,0.26809490639675,0.0492,0.340464533416877,0.0492,0.319034271754382
0.059,0.391049210650975,0.059,0.395251338139141,0.059,0.342350935650089,0.059,0.312955378175362,0.059,0.395251338139141,0.059,0.37113421994786
0.0688,0.441815998378016,0.0688,0.446501037134079,0.0688,0.389089037570767,0.0688,0.356318719880223,0.0688,0.446501037134079,0.0688,0.420305993543256
0.0786,0.489338745311617,0.0786,0.494494833333837,0.0786,0.433480117628925,0.0786,0.397496305206561,0.0786,0.494494833333837,0.0786,0.466447648781549
0.0884,0.534092341424664,0.0884,0.539579711971672,0.0884,0.475630739827699,0.0884,0.436920154654738,0.0884,0.539579711971672,0.0884,0.509680577580926
0.0982,0.57618311835025,0.0982,0.582039308753269,0.0982,0.515623621675303,0.0982,0.473947351197844,0.0982,0.582039308753269,0.0982,0.550379457235298
0.108,0.615760618635938,0.108,0.622019966878537,0.108,0.553537610001686,0.108,0.50981617311632,0.108,0.622019966878537,0.108,0.589075446711216
0.1178,0.653097654412259,0.1178,0.65970562537805,0.1178,0.58982458498555,0.1178,0.543945157604678,0.1178,0.65970562537805,0.1178,0.625719470394516
0.1276,0.688422005436219,0.1276,0.695401712487345,0.1276,0.624029760550005,0.1276,0.576982140007482,0.1276,0.695401712487345,0.1276,0.660126461408865
0.1374,0.721754172324452,0.1374,0.729101437608113,0.1374,0.656566299897841,0.1374,0.608294461272728,0.1374,0.729101437608113,0.1374,0.69287463028021
0.1472,0.753281380724572,0.1472,0.76102710257868,0.1472,0.687864787501583,0.1472,0.638163072271061,0.1472,0.76102710257868,0.1472,0.723753298758947
