vp_J1,FP_J1,vp_J2,FP_J2,vp_J3,FP_J3,vp_J4,FP_J4,vp_J5,FP_J5
0.01,0.080474551921495,0.01,0.0809766006665662,0.01,0.0809766006665662,0.01,0.0808298479564685,0.01,0.0788525482835726
0.0198,0.152435785524581,0.0198,0.152985532009732,0.0198,0.150593391898668,0.0198,0.142235759523058,0.0198,0.135170774288208
0.0296,0.218561599479053,0.0296,0.219083977659388,0.0296,0.209487962045289,0.0296,0.196421351671431,0.0296,0.171783706809879
0.0394,0.279176027635997,0.0394,0.281916160225284,0.0394,0.272439580766616,0.0394,0.258041806002754,0.0394,0.217809481410927
0.0492,0.334752018877294,0.0492,0.340464533416877,0.0492,0.331045883423376,0.0492,0.316148018783974,0.0492,0.277366910742794
0.059,0.385809441252389,0.059,0.395251338139141,0.059,0.385583866924036,0.059,0.370335042327411,0.059,0.332380550336911
0.0688,0.43265802648201,0.0688,0.446501037134079,0.0688,0.436588218780705,0.0688,0.420636628768384,0.0688,0.382008453032642
0.0786,0.475248661865198,0.0786,0.494494833333837,0.0786,0.484460711274182,0.0786,0.467185096306415,0.0786,0.427018384808581
0.0884,0.513813693217293,0.0884,0.539579711971672,0.0884,0.529202953565472,0.0884,0.509264334729603,0.0884,0.466825151620856
0.0982,0.548837156361422,0.0982,0.582039308753269,0.0982,0.571317187548908,0.0982,0.544921647131804,0.0982,0.50074696306161
0.108,0.580300194360504,0.108,0.622019966878537,0.108,0.610750928258027,0.108,0.573615077730378,0.108,0.529147163801946
0.1178,0.608309698232408,0.1178,0.65970562537805,0.1178,0.648134955306136,0.1178,0.596228241145238,0.1178,0.548956247059614
0.1276,0.632605277684035,0.1276,0.695401712487345,0.1276,0.683367734812989,0.1276,0.631155968198906,0.1276,0.558020776924063
0.1374,0.653702802609757,0.1374,0.729101437608113,0.1374,0.716643695847674,0.1374,0.665223029243848,0.1374,0.563309020780736
0.1472,0.671658354083758,0.1472,0.76102710257868,0.1472,0.748102670536217,0.1472,0.697397983629715,0.1472,0.565328460810868
0.157,0.686217406355685,0.157,0.791286896695305,0.157,0.777536500282028,0.157,0.727347553373568,0.157,0.565625461473471
0.1668,0.697849322672462,0.1668,0.81981788333668,0.1668,0.804932031037782,0.1668,0.754496817092039,0.1668,0.565048245562235
0.1766,0.707046527931518,0.1766,0.846219836174452,0.1766,0.828698066563353,0.1766,0.779043059552801,0.1766,0.564976754483064
0.1864,0.714503906214801,0.1864,0.866706614884165,0.1864,0.84552655054651,0.1864,0.798327581390739,0.1864,0.57028483379439
0.1962,0.719250347876631,0.1962,0.873306853609991,0.1962,0.856186039138323,0.1962,0.812071759463125,0.1962,0.597022352174449
0.206,0.722154760366878,0.206,0.882164233733798,0.206,0.870171812427335,0.206,0.82008784394781,0.206,0.623588683632606
0.2158,0.723366249873614,0.2158,0.889268983182232,0.2158,0.882031276330424,0.2158,0.824491928145327,0.2158,0.646927976812376
0.2256,0.723367669253544,0.2256,0.89256348296537,0.2256,0.888716155476566,0.2256,0.826235227169637,0.2256,0.666630928719289
0.2354,0.721826492868795,0.2354,0.891109818933631,0.2354,0.891505548287057,0.2354,0.825846780055241,0.2354,0.681534783802555
0.2452,0.719845558623636,0.2452,0.885672239320838,0.2452,0.89107610510242,0.2452,0.823871952908039,0.2452,0.693629293224992
0.255,0.717203008684863,0.255,0.877493021091811,0.255,0.887848945409429,0.255,0.82095223325062,0.255,0.703090105459057
0.2648,0.713853978970417,0.2648,0.867143367622349,0.2648,0.882033619962138,0.2648,0.816918702339408,0.2648,0.709756023386478
