vp_J1,FP_J1,vp_J2,FP_J2,vp_J3,FP_J3,vp_J4,FP_J4,vp_J5,FP_J5
0.01,0.0806985429000653,0.01,0.0809457053591773,0.01,0.080968876839719,0.01,0.0804282089604115,0.01,0.0778330031397356
0.0198,0.151232286462493,0.0198,0.153594710547332,0.0198,0.152242631354122,0.0198,0.146641160410824,0.0198,0.13910814776294
0.0296,0.21343799979248,0.0296,0.220107266423606,0.0296,0.217781610141293,0.0296,0.201323119527999,0.0296,0.183261715046281
0.0394,0.268740056666218,0.0394,0.2807289995065,0.0394,0.279362384260458,0.0394,0.258842449278213,0.0394,0.219417670059047
0.0492,0.316807924197532,0.0492,0.336465106668044,0.0492,0.336525098069277,0.0492,0.313448405728512,0.0492,0.256576557360112
0.059,0.358817861619817,0.059,0.387162887222503,0.059,0.389689319700051,0.059,0.365269287410697,0.059,0.302772308495452
0.0688,0.395689265272384,0.0688,0.433269389728474,0.0688,0.439264492584101,0.0688,0.414236029881938,0.0688,0.348314852071929
0.0786,0.427767921637134,0.0786,0.475103590220962,0.0786,0.485875159805483,0.0786,0.460523889975247,0.0786,0.391076884949119
0.0884,0.455809372499245,0.0884,0.512811192828898,0.0884,0.529367105675852,0.0884,0.503894215690011,0.0884,0.43134484547717
0.0982,0.479752321276638,0.0982,0.546606226684082,0.0982,0.57015619353315,0.0982,0.544563104862232,0.0982,0.469633461668701
0.108,0.500410562373686,0.108,0.576429572655717,0.108,0.608251612528649,0.108,0.582860334145242,0.108,0.505005543283227
0.1178,0.517803615834397,0.1178,0.602777068351368,0.1178,0.64376907050205,0.1178,0.618579205591774,0.1178,0.537810336716177
0.1276,0.533262175900128,0.1276,0.625301176452122,0.1276,0.676890315525663,0.1276,0.651979981739747,0.1276,0.568987393100345
0.1374,0.546550937897266,0.1374,0.644633362800521,0.1374,0.7074010195477,0.1374,0.683249814662431,0.1374,0.598751168709414
0.1472,0.557513226068326,0.1472,0.661231420818614,0.1472,0.735312299064307,0.1472,0.712124785565152,0.1472,0.626529593870949
0.157,0.567116701647869,0.157,0.674824912425952,0.157,0.759782027166716,0.157,0.73908864890251,0.157,0.652557985276424
0.1668,0.57459106423687,0.1668,0.685353899209883,0.1668,0.780626188423427,0.1668,0.764072704940298,0.1668,0.676392153157516
0.1766,0.580722824883772,0.1766,0.69398014906649,0.1766,0.797445760460483,0.1766,0.786118183159914,0.1766,0.696867389860527
0.1864,0.585936725627833,0.1864,0.700347819818521,0.1864,0.809793921262964,0.1864,0.8043964064626,0.1864,0.714278634311614
0.1962,0.589360259278178,0.1962,0.70460870484209,0.1962,0.817025698835714,0.1962,0.816567734662604,0.1962,0.728731086960351
0.206,0.592671058864057,0.206,0.707173922404513,0.206,0.819519441932567,0.206,0.821155750764328,0.206,0.739607285880377
0.2158,0.594658926224259,0.2158,0.708638064102996,0.2158,0.818294799636008,0.2158,0.819609214384416,0.2158,0.747577601024569
0.2256,0.596315142718118,0.2256,0.708778339505002,0.2256,0.814346861520952,0.2256,0.814198411585693,0.2256,0.751540168078316
0.2354,0.59706675711909,0.2354,0.707410637851109,0.2354,0.808584096525658,0.2354,0.806431813409572,0.2354,0.752144207006832
0.2452,0.596877942258547,0.2452,0.705564478483436,0.2452,0.801603753431811,0.2452,0.797932605960867,0.2452,0.750365927953731
0.255,0.596529931761787,0.255,0.702892369727047,0.255,0.793296370967742,0.255,0.789046991315136,0.255,0.747002946650124
0.2648,0.595355396908666,0.2648,0.699366679591573,0.2648,0.784644451033612,0.2648,0.779824221274396,0.2648,0.74181359243969
0.2746,0.594046891079658,0.2746,0.695692702352011,0.2746,0.775660337961789,0.2746,0.770265030052648,0.2746,0.735797700189414
0.2844,0.59245831107729,0.2844,0.691333679673952,0.2844,0.766465203743406,0.2844,0.760549364513745,0.2844,0.728990904900232
0.2942,0.590518974977736,0.2942,0.686553764830935,0.2942,0.757167686517855,0.2942,0.750944439656411,0.2942,0.721767359016346
0.304,0.588311413560876,0.304,0.681492189979197,0.304,0.747727513134234,0.304,0.741479496491661,0.304,0.714251965727584
0.3138,0.585794533641792,0.3138,0.676094726197238,0.3138,0.738470915815867,0.3138,0.732112430215967,0.3138,0.706481083851663
0.3236,0.583464336511436,0.3236,0.670589956649857,0.3236,0.729228340240774,0.3236,0.722702000095275,0.3236,0.698781160041649
0.3334,0.580816255551394,0.3334,0.664980068489486,0.3334,0.720072636310129,0.3334,0.713538043769062,0.3334,0.690941195355557
0.3432,0.578030786225761,0.3432,0.659326280074434,0.3432,0.711114471893267,0.3432,0.704516014492277,0.3432,0.683527199321414
0.353,0.575195602974458,0.353,0.653304235370191,0.353,0.702146783058519,0.353,0.695729065632072,0.353,0.675548011639185
0.3628,0.57198239398546,0.3628,0.647313619855107,0.3628,0.693443540538993,0.3628,0.687267442230265,0.3628,0.668068108816364
0.3726,0.568712919618494,0.3726,0.641406113099857,0.3726,0.684951310486394,0.3726,0.679131098705785,0.3726,0.660321801386837
0.3824,0.565309780298971,0.3824,0.635513097679804,0.3824,0.676740146713723,0.3824,0.671024347579716,0.3824,0.65273132664437
0.3922,0.562051219863424,0.3922,0.62964506862916,0.3922,0.668704951455575,0.3922,0.663011497563305,0.3922,0.645158063073647
0.402,0.55845165758432,0.402,0.62380276455601,0.402,0.660633659760501,0.402,0.654988723560817,0.402,0.637859879608526
0.4118,0.554978486072176,0.4118,0.618060527124307,0.4118,0.652929701568672,0.4118,0.647278896064281,0.4118,0.630708688039961
0.4216,0.55137408349782,0.4216,0.612245902802618,0.4216,0.645281253756157,0.4216,0.639766672990284,0.4216,0.623865912273563
0.4314,0.547667053362614,0.4314,0.606553283419591,0.4314,0.637777197496037,0.4314,0.632389138838114,0.4314,0.617121070077582
0.4412,0.54423592116273,0.4412,0.600805810838367,0.4412,0.630473150185983,0.4412,0.625267021523446,0.4412,0.610489603915144
0.451,0.540594792343916,0.451,0.595266447728668,0.451,0.623216392347244,0.451,0.618270186494695,0.451,0.604019346762578
0.4608,0.537061411601655,0.4608,0.589478115513567,0.4608,0.616163479977093,0.4608,0.611316814212512,0.4608,0.597728108337878
0.4706,0.533469557751381,0.4706,0.583917521326625,0.4706,0.609332900218759,0.4706,0.604531798202754,0.4706,0.591530273765253
0.4804,0.530042316492265,0.4804,0.578298805220496,0.4804,0.602579936691443,0.4804,0.597871013801053,0.4804,0.58529172854163
0.4902,0.526387440734985,0.4902,0.572860393591837,0.4902,0.595982766422065,0.4902,0.591274353576886,0.4902,0.579294787301712
0.5,0.522998003211943,0.5,0.567564035038907,0.5,0.589597290683424,0.5,0.58478325855623,0.5,0.573335697212908
0.5098,0.519424227060204,0.5098,0.562319847461805,0.5098,0.583297680637841,0.5098,0.578416560559988,0.5098,0.567504920071978
0.5196,0.51602371381066,0.5196,0.557123282318135,0.5196,0.577148670163483,0.5196,0.572272792020099,0.5196,0.56168401838917
0.5294,0.512533460101124,0.5294,0.551999890488558,0.5294,0.571122081613402,0.5294,0.566286155887049,0.5294,0.556041858259838
0.5392,0.508949492839546,0.5392,0.54703291167237,0.5392,0.565183788067752,0.5392,0.560455615012687,0.5392,0.550547094348432
0.549,0.505636914967584,0.549,0.542000507207073,0.549,0.559335340320172,0.549,0.554695244994364,0.549,0.545138395939431
0.5588,0.502322036153054,0.5588,0.53711362816501,0.5588,0.553657311807209,0.5588,0.549107918652632,0.5588,0.539896476137858
0.5686,0.498922068066577,0.5686,0.532291194343847,0.5686,0.548053507096829,0.5686,0.543611551452456,0.5686,0.534751317965651
0.5784,0.495512597827473,0.5784,0.527612758187915,0.5784,0.542710734792368,0.5784,0.538228596091697,0.5784,0.529807041121751
0.5882,0.492117079372418,0.5882,0.522992285243723,0.5882,0.537309948279349,0.5882,0.53290646941547,0.5882,0.52493397671126
0.598,0.488755581090141,0.598,0.518427734520006,0.598,0.532017667598324,0.598,0.527720699348145,0.598,0.520111341963059
0.6078,0.485311765828194,0.6078,0.514045860301182,0.6078,0.526886563999743,0.6078,0.522605576798675,0.6078,0.515450276988452
0.6176,0.482158441343937,0.6176,0.509594287844259,0.6176,0.521879261740922,0.6176,0.517631749872217,0.6176,0.510801804355541
0.6274,0.478938135116348,0.6274,0.505345734997186,0.6274,0.51691326558759,0.6274,0.512762459589774,0.6274,0.506307856961592
0.6372,0.475805307842192,0.6372,0.501096436200505,0.6372,0.512060798205554,0.6372,0.508076534519739,0.6372,0.501831757592684
0.647,0.472696632365285,0.647,0.496857205124277,0.647,0.507397921202483,0.647,0.503412516372095,0.647,0.497420383608701
0.6568,0.469511010950128,0.6568,0.492691733944543,0.6568,0.502756205463753,0.6568,0.498951084022118,0.6568,0.493084410526293
0.6666,0.46651270695373,0.6666,0.488593400701263,0.6666,0.498210957174853,0.6666,0.494495658800507,0.6666,0.488874159044324
0.6764,0.463382443537188,0.6764,0.484466070104729,0.6764,0.493765336062065,0.6764,0.490094078583287,0.6764,0.484800200478224
0.6862,0.460339302427928,0.6862,0.48050488333509,0.6862,0.489343854146651,0.6862,0.48583347279816,0.6862,0.480736291640582
0.696,0.457384627022209,0.696,0.476520604909523,0.696,0.485170639358372,0.696,0.48164397676696,0.696,0.476714826907311
0.7058,0.454487333820248,0.7058,0.472643439098952,0.7058,0.481039676775197,0.7058,0.477563836696212,0.7058,0.472894314634339
0.7156,0.451479454633195,0.7156,0.468850056166614,0.7156,0.476931640926138,0.7156,0.473537615612116,0.7156,0.469052296023083
0.7254,0.448616079834306,0.7254,0.465238977692773,0.7254,0.472889435035527,0.7254,0.469553756354735,0.7254,0.465286545303194
0.7352,0.445751574998578,0.7352,0.46162418601366,0.7352,0.468883600198555,0.7352,0.465612939807684,0.7352,0.461581021929317
0.745,0.442985037517895,0.745,0.457970828695799,0.745,0.464969377706038,0.745,0.461781862045255,0.745,0.457949462046032
0.7548,0.440255866327922,0.7548,0.45442236791747,0.7548,0.461061352914364,0.7548,0.458014958871757,0.7548,0.454455062803029
