vp_ha,FP_ha,vp_d2,FP_d2,vp_d4,FP_d4,vp_c4,FP_c4,vp_s2,FP_s2,vp_s4,FP_s4
0.01,0.080721714380607,0.01,0.080968876839719,0.01,0.0768829724375239,0.01,0.0744654146343347,0.01,0.080968876839719,0.01,0.0779797558498334
0.0198,0.148238396820385,0.0198,0.152242631354122,0.0198,0.122207157847817,0.0198,0.114265549839348,0.0198,0.152242631354122,0.0198,0.131121965715135
0.0296,0.210990693796938,0.0296,0.217781610141293,0.0296,0.171454536997614,0.0296,0.155389618985942,0.0296,0.217781610141293,0.0296,0.188621458293827
0.0394,0.270990140354147,0.0394,0.279362384260458,0.0394,0.220839502082708,0.0394,0.197089385609818,0.0394,0.279362384260458,0.0394,0.24474836679125
0.0492,0.327046456674543,0.0492,0.336525098069277,0.0492,0.266368487183504,0.0492,0.236452775102235,0.0492,0.336525098069277,0.0492,0.296984098945818
0.059,0.37944824519285,0.059,0.389689319700051,0.059,0.308824145476107,0.059,0.273131841749941,0.059,0.389689319700051,0.059,0.34610835946236
0.0688,0.428135186138274,0.0688,0.439264492584101,0.0688,0.349231896941624,0.0688,0.307409660163134,0.0688,0.439264492584101,0.0688,0.392033562594551
0.0786,0.473834213333898,0.0786,0.485875159805483,0.0786,0.387141816599218,0.0786,0.339612719156408,0.0786,0.485875159805483,0.0786,0.434882476856539
0.0884,0.516633591970617,0.0884,0.529367105675852,0.0884,0.422785485435897,0.0884,0.370321298443193,0.0884,0.529367105675852,0.0884,0.474751353522089
0.0982,0.556759233174835,0.0982,0.57015619353315,0.0982,0.456566587844279,0.0982,0.399148604388444,0.0982,0.57015619353315,0.0982,0.512152021922299
0.108,0.59420125574027,0.108,0.608251612528649,0.108,0.487925042645957,0.108,0.425950859692728,0.108,0.608251612528649,0.108,0.546581549852225
0.1178,0.629047651051818,0.1178,0.64376907050205,0.1178,0.516862692385241,0.1178,0.451014181060555,0.1178,0.64376907050205,0.1178,0.578662544525842
0.1276,0.661643789028675,0.1276,0.676890315525663,0.1276,0.543899165731417,0.1276,0.474510204028243,0.1276,0.676890315525663,0.1276,0.608464072036437
0.1374,0.691422500872552,0.1374,0.7074010195477,0.1374,0.568730303902661,0.1374,0.495359554884123,0.1374,0.7074010195477,0.1374,0.635523161464052
0.1472,0.71918530894755,0.1472,0.735312299064307,0.1472,0.590904238548372,0.1472,0.51422159219271,0.1472,0.735312299064307,0.1472,0.659841163049928
0.157,0.744148213779931,0.157,0.759782027166716,0.157,0.610779051948901,0.157,0.530862135330046,0.157,0.759782027166716,0.157,0.681249833566945
0.1668,0.765589162759386,0.1668,0.780626188423427,0.1668,0.627166326132914,0.1668,0.544767393794806,0.1668,0.780626188423427,0.1668,0.699186262120443
0.1766,0.782525274887462,0.1766,0.797445760460483,0.1766,0.640146483654343,0.1766,0.555835362703859,0.1766,0.797445760460483,0.1766,0.712756438639215
0.1864,0.794840372329402,0.1864,0.809793921262964,0.1864,0.649630103534967,0.1864,0.563747443163899,0.1864,0.809793921262964,0.1864,0.722131612856718
0.1962,0.801604636006552,0.1962,0.817025698835714,0.1962,0.655170591654484,0.1962,0.568879573036479,0.1962,0.817025698835714,0.1962,0.727198668381097
